sample1,,sample1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
726.9813232,0.1380738467,726.9813232,0.1381136924,
725.9841309,0.1385763437,725.9841309,0.137914747,
724.9865723,0.1374730915,724.9865723,0.1372289956,
723.9887085,0.1387819201,723.9887085,0.1377342492,
722.9904785,0.1384072751,722.9904785,0.1380394399,
721.9919434,0.1378622949,721.9919434,0.138334617,
720.993042,0.1386899054,720.993042,0.1389185339,
719.9937744,0.1390517205,719.9937744,0.1396759003,
718.9942017,0.139555335,718.9942017,0.1396391243,
717.9943237,0.1401946694,717.9943237,0.1398036033,
716.9940186,0.1409434527,716.9940186,0.1406482309,
715.9934082,0.1411234438,715.9934082,0.1412885189,
714.9924927,0.1419384032,714.9924927,0.1423466951,
713.9912109,0.1426005065,713.9912109,0.1429032981,
712.989624,0.1436888129,712.989624,0.143645525,
711.9876709,0.1454592496,711.9876709,0.1444048882,
710.9854126,0.144950211,710.9854126,0.1456132829,
709.9827881,0.146212548,709.9827881,0.146243751,
708.9797974,0.1467453092,708.9797974,0.1479358971,
707.9765015,0.1487308741,707.9765015,0.1477190256,
706.9729004,0.1498195231,706.9729004,0.1487096548,
705.9689331,0.1497277915,705.9689331,0.1499391794,
704.9646606,0.150806874,704.9646606,0.1496519744,
703.960022,0.1518815011,703.960022,0.1521794051,
702.9550781,0.1518582255,702.9550781,0.1535187215,
701.9498291,0.1533421874,701.9498291,0.1533071101,
700.9442139,0.154231295,700.9442139,0.1544654965,
699.9382324,0.15509893,699.9382324,0.1545528024,
698.9319458,0.1557510048,698.9319458,0.1559576243,
698.0691528,0.1563762277,698.0691528,0.1567852944,
697.0622559,0.1578191817,697.0622559,0.1576940417,
696.0550537,0.1583807766,696.0550537,0.1586646289,
695.0475464,0.158496201,695.0475464,0.1599030942,
694.0396729,0.159594357,694.0396729,0.1599890292,
693.0314331,0.1598963886,693.0314331,0.1609548926,
692.0228882,0.1624179482,692.0228882,0.1608797163,
691.0140381,0.1623697132,691.0140381,0.1624874771,
690.0048828,0.1623705328,690.0048828,0.1624290794,
688.9953613,0.163129881,688.9953613,0.1624965817,
687.9855347,0.1634703577,687.9855347,0.1637160778,
686.9754028,0.1638585329,686.9754028,0.1640037,
685.9649048,0.1650231779,685.9649048,0.1644769758,
684.9541016,0.165035069,684.9541016,0.1647656709,
683.9429932,0.1654494107,683.9429932,0.165267244,
682.9315186,0.1651503444,682.9315186,0.1656410545,
682.0643311,0.1665397882,682.0643311,0.1659445614,
681.0522461,0.16723454,681.0522461,0.1671351045,
680.039856,0.1671546251,680.039856,0.1667855382,
679.0272217,0.1685226858,679.0272217,0.1682107002,
678.0141602,0.1679731756,678.0141602,0.1690745652,
677.0008545,0.1687129736,677.0008545,0.1688091606,
675.9871826,0.1684021205,675.9871826,0.1694610566,
674.9732056,0.1696927696,674.9732056,0.1699887812,
673.9589233,0.1701921076,673.9589233,0.1697446257,
672.9443359,0.1705173105,672.9443359,0.1694344282,
671.9294434,0.1708489209,671.9294434,0.1707924902,
671.0592041,0.1712182015,671.0592041,0.1717134416,
670.0437012,0.1722996235,670.0437012,0.1719076037,
669.0278931,0.1722375304,669.0278931,0.1733366996,
668.0117188,0.1722764075,668.0117188,0.1733902246,
666.9953003,0.1716810018,666.9953003,0.172141403,
665.9785156,0.1729974896,665.9785156,0.1723177135,
664.9614258,0.1734117121,664.9614258,0.1728575677,
663.9440308,0.1727940142,663.9440308,0.1726237237,
663.0717163,0.1722676009,663.0717163,0.1731054485,
662.0537109,0.1732214242,662.0537109,0.1728956103,
661.0354614,0.173361659,661.0354614,0.1733570695,
660.0168457,0.1729940176,660.0168457,0.1737045497,
658.9979248,0.1732610762,658.9979248,0.1740926653,
657.9786987,0.1736441255,657.9786987,0.1740208268,
656.9591675,0.1745235622,656.9591675,0.1746197939,
655.93927,0.1746719182,655.93927,0.1742594391,
655.0648804,0.1748962253,655.0648804,0.175694719,
